,1
about-the-happy-yard-and-singing-as-the-farm-was-home,1
about-the-lilting-house-and-happy-as-the-grass-was-green,1
air,1
all-the-moon-long-i-heard-blessed-among-stables-the,1
all-the-sun-long-it-was-running-it-was-lovely-the-hay,1
and-as-i-was-green-and-carefree-famous-among-the-barns,1
and-fire-green-as-grass,1
and-green-and-golden-i-was-huntsman-and-herdsman-the-calves,1
and-honoured-among-foxes-and-pheasants-by-the-gay-house,1
and-honoured-among-wagons-i-was-prince-of-the-apple-towns,1
and-nightly-under-the-simple-stars,1
and-nothing-i-cared-at-my-sky-blue-trades-that-time-allows,1
and-once-below-a-time-i-lordly-had-the-trees-and-leaves,1
and-playing-lovely-and-watery,1
and-the-sabbath-rang-slowly,1
and-the-sun-grew-round-that-very-day,1
and-then-to-awake-and-the-farm-like-a-wanderer-white,1
and-wake-to-the-farm-forever-fled-from-the-childless-land,1
as-i-rode-to-sleep-the-owls-were-bearing-the-farm-away,1
before-the-children-green-and-golden,1
cold,1
down-the-rivers-of-the-windfall-light,1
fields-high-as-the-house-the-tunes-from-the-chimneys-it-was,1
flashing-into-the-dark,1
flying-with-the-ricks-and-the-horses,1
follow-him-out-of-grace,1
golden-in-the-heydays-of-his-eyes,1
golden-in-the-mercy-of-his-means,1
i-ran-my-heedless-ways,1
i-should-hear-him-fly-with-the-high-fields,1
in-all-his-tuneful-turning-so-few-and-such-morning-songs,1
in-the-first-spinning-place-the-spellbound-horses-walking,1
in-the-moon-that-is-always-rising,1
in-the-pebbles-of-the-holy-streams,1
in-the-sun-born-over-and-over,1
in-the-sun-that-is-young-once-only,1
my-wishes-raced-through-the-house-high-hay,1
nightjars,1
nor-that-riding-to-sleep,1
nothing-i-cared-in-the-lamb-white-days-that-time-would,1
now-as-i-was-young-and-easy-under-the-apple-boughs,1
oh-as-i-was-young-and-easy-in-the-mercy-of-his-means,1
on-to-the-fields-of-praise,1
out-of-the-whinnying-green-stable,1
sang-to-my-horn-the-foxes-on-the-hills-barked-clear-and,1
shining-it-was-adam-and-maiden,1
so-it-must-have-been-after-the-birth-of-the-simple-light,1
take-me,1
the-night-above-the-dingle-starry,1
the-sky-gathered-again,1
though-i-sang-in-my-chains-like-the-sea,1
time-held-me-green-and-dying,1
time-let-me-hail-and-climb,1
time-let-me-play-and-be,1
trail-with-daisies-and-barley,1
under-the-new-made-clouds-and-happy-as-the-heart-was-long,1
up-to-the-swallow-thronged-loft-by-the-shadow-of-my-hand,1
warm,1
with-the-dew-come-back-the-cock-on-his-shoulder-it-was-all,1
